Tahun,Bulan,Tanggal,Suhu,Curah_Hujan,Kelembapan,Dosis_Pupuk,Umur_Tanaman,Luas_Lahan,Hasil_Panen_Kg,Lokasi,Area,Pelepah_Terkena_Penyakit (Kg),Pelepah Terkena Luka Goresan (Kg)
2020,1,21,21.7,8.3,34,0,4,2.5,100,Parung,2500,7,23
2020,1,22,21.8,8.3,34,0,6,2.5,100,Parung,2500,25,7
2020,1,23,21.6,1.1,34,0,4,2.5,100,Parung,2500,25,21 
2020,2,15,20.8,2.2,34,1400,4,2.5,100,Parung,2500,13,23
2020,2,16,20.9,8.2,35,1400,3,2.5,100,Parung,2500,24,22
2020,2,17,21.6,19.4,34,1400,4,2.5,100,Parung,2500,16,21
2020,2,18,20.2,1.9,34,1400,6,2.5,100,Parung,2500,20,15
2020,2,19,19.9,30.3,34,1400,4,2.5,100,Parung,2500,24,12
2020,2,20,19.9,76.4,34,1400,3,2.5,100,Parung,2500,17,12
2020,2,21,20.3,32.2,34,1400,5,2.5,100,Parung,2500,19,19
2020,2,22,21.3,19.1,34,1400,4,2.5,100,Parung,2500,24,19
2020,2,23,20.6,16.9,34,1400,6,2.5,100,Parung,2500,24,16
2020,2,24,20.1,41.6,34,1400,4,2.5,100,Parung,2500,9,16
2020,2,25,20,37.2,35,1400,3,2.5,100,Parung,2500,18,20
2020,2,26,21.3,7.6,34,1400,4,2.5,100,Parung,2500,25,24
2020,2,27,21.3,3.5,34,1400,6,2.5,100,Parung,2500,25,22
2020,2,28,21.2,2.4,34,1400,4,2.5,100,Parung,2500,9,13
2020,2,29,21.1,8,34,1400,3,2.5,100,Parung,2500,13,14
2020,3,1,21.6,33.8,34,0,5,2.5,100,Parung,2500,22,16
2020,3,2,22.4,32.2,34,0,4,2.5,100,Parung,2500,23,14
2020,3,3,22.1,7.6,34,0,6,2.5,100,Parung,2500,25,22
2020,3,4,21.5,10.4,34,0,4,2.5,100,Parung,2500,24,7
2020,3,5,21.7,11.5,37,0,3,2.5,100,Parung,2500,8,11
2020,3,6,22,9.7,34,0,4,2.5,100,Parung,2500,13,14
2020,3,7,22,13.7,34,0,6,2.5,100,Parung,2500,18,13
2020,3,8,21.8,13.7,34,0,4,2.5,100,Parung,2500,15,17
2020,3,9,23,3.8,34,0,3,2.5,100,Parung,2500,24,22
2020,3,10,22.5,3.8,34,0,5,2.5,100,Parung,2500,13,18
2020,3,11,22.4,3.9,34,0,4,2.5,100,Parung,2500,21,20
2020,3,12,21.6,15.3,34,0,6,2.5,100,Parung,2500,15,25
2020,3,13,22.1,35.4,34,0,4,2.5,100,Parung,2500,17,19
2020,3,14,22.2,35.4,34,0,3,2.5,100,Parung,2500,16,10
2020,3,15,21.4,35.4,34,0,4,2.5,100,Parung,2500,13,9
2020,3,16,20.9,43.4,34,0,6,2.5,100,Parung,2500,16,18
2020,3,17,21.8,30.7,35,0,4,2.5,100,Parung,2500,8,24
2020,3,18,20.9,2,34,0,3,2.5,100,Parung,2500,24,16
2020,3,19,20.8,1.5,34,0,5,2.5,100,Parung,2500,15,17
2020,3,20,20.3,20.3,34,0,4,2.5,100,Parung,2500,16,18
2020,3,21,22.5,19.3,34,0,6,2.5,100,Parung,2500,10,20
2020,3,22,21.9,9.9,34,0,4,2.5,100,Parung,2500,19,23
2020,3,23,21.1,11.3,34,0,3,2.5,100,Parung,2500,22,20
2020,3,24,21.6,15.5,34,0,4,2.5,100,Parung,2500,11,25
2020,3,25,21.8,55.5,34,0,6,2.5,100,Parung,2500,18,7
2020,3,26,20.7,14.5,34,0,4,2.5,100,Parung,2500,23,13
2020,3,27,21.7,42.1,34,0,3,2.5,100,Parung,2500,15,11
2020,3,28,21.6,10.6,34,0,5,2.5,100,Parung,2500,11,8
2020,3,29,22.3,4.8,34,0,4,2.5,100,Parung,2500,8,12
2020,3,30,20.3,11.2,34,0,6,2.5,100,Parung,2500,14,7
2020,3,31,21.8,41,34,0,4,2.5,100,Parung,2500,19,18
2020,4,1,22.1,32,34,0,3,2.5,100,Parung,2500,10,22
2020,4,2,22.2,2.5,34,0,4,2.5,100,Parung,2500,13,23
