Tahun,Bulan,Tanggal,Suhu_C,Curah_Hujan_Mm,Kelembapan,Dosis_Pupuk (Kg),Umur_Tanaman,Luas_Lahan,Hasil_Panen_Kg,Lokasi,Area_M,Pelepah_Terkena_Penyakit (Kg),Pelepah Terkena Luka Goresan (Kg)
2022,1,1,19.6,31.4,34,1000,8,3.5,200,Kemang,3500,3,5
2022,1,3,19.5,4.1,34,1000,6,3.5,400,Kemang,3500,1,2
2022,1,5,21.3,10.8,37,1000,8,3.5,400,Kemang,3500,3,1
2022,1,7,22.2,7.8,34,1000,6,3.5,400,Kemang,3500,4,4
2022,1,9,21.6,5.5,34,1000,8,3.5,400,Kemang,3500,3,2
2022,1,10,21.6,5.5,34,1000,6,3.5,100,Kemang,3500,2,1
2022,1,12,22,3.9,34,1000,6,3.5,500,Kemang,3500,2,2
2022,1,13,21.3,3.9,34,1000,8,3.5,300,Kemang,3500,2,1
2022,1,14,21.3,3.9,34,1000,8,3.5,150,Kemang,3500,0,2
2022,1,15,21.8,3.9,34,1000,6,3.5,100,Kemang,3500,3,2
2022,1,18,20.9,3.2,34,1000,8,3.5,200,Kemang,3500,2,1
2022,1,20,20.9,3.2,34,1000,6,3.5,200,Kemang,3500,3,2
2022,1,23,21.7,1.2,34,1000,8,3.5,200,Kemang,3500,4,3
2022,1,24,20.9,3,34,1000,6,3.5,400,Kemang,3500,2,3
2022,1,27,20.8,1,34,1000,8,3.5,300,Kemang,3500,1,2
2022,1,30,21,3.4,34,1000,6,3.5,200,Kemang,3500,2,3
2022,1,31,21.2,3.4,34,1000,8,3.5,300,Kemang,3500,5,7
2022,2,1,20.9,10.4,34,1000,6,3.5,200,Kemang,3500,3,3
2022,2,3,20.7,4.9,34,1000,8,3.5,200,Kemang,3500,5,4
2022,2,6,21.7,4.9,34,0,6,3.5,200,Kemang,3500,5,3
2022,2,8,21.5,0.6,34,0,8,3.5,250,Kemang,3500,3,1
2022,2,11,19.9,10.4,34,0,6,3.5,100,Kemang,3500,2,5
2022,2,13,20.9,30.8,34,0,8,3.5,260,Kemang,3500,3,5
2022,2,17,20.3,5.6,34,0,6,3.5,50,Kemang,3500,0,2
2022,2,18,20.7,13,34,0,8,3.5,300,Kemang,3500,1,6
2022,2,21,20.7,9,34,0,6,3.5,300,Kemang,3500,3,2
2022,2,22,19.6,7.3,34,0,8,3.5,200,Kemang,3500,1,7
2022,2,23,20.1,31.1,34,0,6,3.5,300,Kemang,3500,7,2
2022,2,24,19.8,59,34,0,8,3.5,600,Kemang,3500,3,3
2022,2,25,20.1,51,34,0,6,3.5,200,Kemang,3500,3,2
2022,2,26,19.8,36.2,34,0,8,3.5,400,Kemang,3500,3,3
2022,2,27,19.3,76.5,34,0,6,3.5,500,Kemang,3500,1,1
2022,2,28,19.6,26.5,34,0,8,3.5,500,Kemang,3500,6,4
2022,3,1,19.4,3.2,34,200,6,3.5,200,Kemang,3500,6,7
2022,3,2,18.8,25.7,34,200,8,3.5,500,Kemang,3500,3,3
2022,3,3,21,22.7,34,200,6,3.5,500,Kemang,3500,6,2
2022,3,5,20,16.3,34,200,8,3.5,350,Kemang,3500,7,3
2022,3,6,21.7,10.3,34,200,6,3.5,300,Kemang,3500,6,3
2022,3,7,21.5,10.3,34,200,8,3.5,200,Kemang,3500,7,3
2022,3,9,21.6,10.3,34,200,6,3.5,200,Kemang,3500,4,3
2022,3,10,21.3,45.5,34,200,8,3.5,200,Kemang,3500,4,5
2022,3,11,21,10.8,34,200,6,3.5,200,Kemang,3500,4,5
2022,3,12,21,0.4,34,200,8,3.5,400,Kemang,3500,4,7
2022,3,13,21.3,16.4,34,200,6,3.5,400,Kemang,3500,3,6
2022,3,14,21.2,16.4,34,200,8,3.5,300,Kemang,3500,5,5
2022,3,15,20.6,3.1,34,200,6,3.5,200,Kemang,3500,2,4
2022,3,16,21.9,3.1,34,200,8,3.5,400,Kemang,3500,7,2
2022,3,17,21,3.1,34,200,6,3.5,200,Kemang,3500,6,4
2022,3,19,22.1,8.5,34,200,8,3.5,200,Kemang,3500,5,7
2022,3,20,21.4,1.6,34,200,6,3.5,400,Kemang,3500,4,5
2022,3,21,22.1,37.5,34,200,8,3.5,500,Kemang,3500,7,2
2022,3,22,22.2,2,34,200,6,3.5,500,Kemang,3500,2,2
2022,3,23,23.2,16.8,34,200,8,3.5,300,Kemang,3500,7,3
2022,3,26,21.7,3.9,34,200,6,3.5,250,Kemang,3500,6,3
2022,3,27,21.3,23.7,34,200,8,3.5,500,Kemang,3500,7,3
2022,3,28,22.2,2,34,200,6,3.5,300,Kemang,3500,5,2
2022,3,30,21.8,16.8,34,200,8,3.5,500,Kemang,3500,3,3
2022,3,31,21.8,16.8,34,200,6,3.5,300,Kemang,3500,3,7
2022,4,1,21.7,23.8,34,0,8,3.5,200,Kemang,3500,6,3
2022,4,2,22.2,4.5,34,0,6,3.5,200,Kemang,3500,4,2
2022,4,3,21.6,4.5,34,0,8,3.5,250,Kemang,3500,5,4
2022,4,4,21.8,4.5,34,0,6,3.5,250,Kemang,3500,3,3
2022,4,5,22.1,1,34,0,8,3.5,200,Kemang,3500,2,3
2022,4,7,22.2,1,34,0,6,3.5,300,Kemang,3500,3,1
2022,4,8,21.7,1,34,0,8,3.5,300,Kemang,3500,3,5
2022,4,9,21.5,2.8,34,0,6,3.5,300,Kemang,3500,6,5
2022,4,11,22.5,1,37,0,8,3.5,200,Kemang,3500,2,7
2022,4,12,22,1,34,0,6,3.5,200,Kemang,3500,5,6
2022,4,13,22.2,2,34,0,8,3.5,300,Kemang,3500,2,5
2022,4,14,21.6,2,34,0,6,3.5,200,Kemang,3500,4,4
2022,4,15,22.4,5.3,34,0,8,3.5,500,Kemang,3500,6,4
2022,4,16,22.4,1.2,34,0,6,3.5,200,Kemang,3500,2,7
2022,4,17,23,1.2,34,0,8,3.5,200,Kemang,3500,5,5
2022,4,18,22.6,4,34,0,6,3.5,200,Kemang,3500,5,2
2022,4,19,22,6.4,34,0,8,3.5,300,Kemang,3500,6,2
2022,4,20,21.7,11.7,34,0,6,3.5,200,Kemang,3500,5,2
2022,4,22,23.2,9.7,34,0,8,3.5,200,Kemang,3500,4,3
2022,4,23,21.7,9.7,34,0,6,3.5,300,Kemang,3500,6,3
2022,4,24,21.7,16.9,34,0,8,3.5,200,Kemang,3500,2,3
2022,4,25,21.5,11.4,34,0,6,3.5,300,Kemang,3500,5,2
2022,4,26,21.5,7,34,0,6,3.5,200,Kemang,3500,5,1
2022,4,27,22.2,7,34,0,8,3.5,200,Kemang,3500,3,4
2022,4,28,22.3,23.5,34,0,6,3.5,200,Kemang,3500,1,7
2022,4,29,22.2,14.2,34,0,8,3.5,250,Kemang,3500,2,3
